STABBR,UNITID,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
PA,213659,Nanticoke,18634-3899,,4758.0,5160.0,
PA,213668,Williamsport,17701-5192,0.6403,1192.0,38618.0,
PA,213774,Jenkintown,19046-3399,0.9255,602.0,17029.0,
PA,213783,Mansfield,16933,0.8919,1770.0,12316.0,
PA,213826,Scranton,18509-1598,0.7512,1835.0,33940.0,
PA,213871,Hazle Township,18202,,168.0,11292.0,
PA,213914,Pittsburgh,15222-3400,,343.0,14980.0,
PA,213932,Philadelphia,19128,,142.0,,
PA,213987,Erie,16546,0.6992,2448.0,36320.0,
PA,213996,Mechanicsburg,17055,0.7701,2670.0,34160.0,
PA,214023,Philadelphia,19140-2302,1.0,21.0,12097.0,
PA,214041,Millersville,17551-0302,0.7949,6613.0,11858.0,
PA,214069,Dallas,18612-1098,0.7879,2100.0,31660.0,
PA,214111,Blue Bell,19422-0796,,8948.0,5730.0,
PA,214148,Philadelphia,19103-1179,0.5407,373.0,39833.0,
PA,214157,Bethlehem,18018-6650,0.7597,2007.0,42024.0,
PA,214166,Cresson,16630-1999,0.9107,1185.0,22430.0,
PA,214175,Allentown,18104,0.4836,2329.0,50830.0,
PA,214254,Philadelphia,19104,,421.0,,
PA,214272,Aston,19014-1298,0.9628,1997.0,30050.0,
PA,214290,New Castle,16101,1.0,763.0,,
PA,214379,Bethlehem,18020-7599,,9203.0,4230.0,
PA,214476,McKees Rocks,15136,0.8,76.0,16300.0,
PA,214528,Philadelphia,19114-1014,0.5728,289.0,,
PA,214564,Elkins Park,19027-6262,,,,
PA,214582,Media,19063-4098,,447.0,13230.0,
PA,214591,Erie,16563-0001,0.8891,4283.0,15190.0,
PA,214607,Malvern,19355-1488,,,,
PA,214616,Hershey,17033-2360,,,,
PA,214625,New Kensington,15068-1765,0.7676,573.0,13694.0,
PA,214634,Sharon,16146-1537,0.7428,345.0,13324.0,
PA,214643,Lehman,18627-0217,0.8245,404.0,13568.0,
PA,214652,Dunmore,18512-1602,0.7792,1003.0,14460.0,
PA,214670,Center Valley,18034-8447,0.8534,823.0,14460.0,
PA,214689,Altoona,16601-3777,0.9225,3451.0,15190.0,
PA,214698,Monaca,15061-2764,0.8131,598.0,13694.0,
PA,214704,Reading,19610-1016,0.857,2635.0,15190.0,
PA,214713,Middletown,17057-4846,0.8375,4223.0,15190.0,
PA,214731,Media,19063-5522,0.8703,1366.0,14460.0,
PA,214740,DuBois,15801-2549,0.8387,497.0,13632.0,
PA,214759,Lemont Furnace,15456-1025,0.8214,649.0,13632.0,
PA,214768,Hazleton,18202-8025,0.9352,699.0,14460.0,
PA,214777,University Park,16802-1503,0.5031,40553.0,18436.0,
PA,214786,McKeesport,15132-7644,0.8187,488.0,13694.0,
PA,214795,Mont Alto,17237-9700,0.7476,759.0,13694.0,
PA,214801,Abington,19001-3918,0.8523,3674.0,14516.0,
PA,214810,Schuylkill Haven,17972-2202,0.7555,695.0,14398.0,
PA,214829,York,17403-3326,0.825,899.0,14460.0,
PA,214883,Philadelphia,19102-4699,,1381.0,15060.0,
PA,214892,Washington,15301-6822,0.9539,225.0,20000.0,
PA,214944,Bristol,19007,,315.0,,
PA,214971,Philadelphia,19102-1510,0.927,188.0,37096.0,
PA,215008,Pittsburgh,15202-2637,,79.0,,
PA,215044,King of Prussia,19406,,172.0,,
PA,215053,Lancaster,17608-0059,0.5,257.0,25000.0,
PA,215062,Philadelphia,19104-6303,0.093,10660.0,53534.0,
PA,215099,Philadelphia,19144-5497,0.5966,2669.0,39280.0,
PA,215105,Philadelphia,19102-4901,0.7404,1662.0,43100.0,
